Directory,File,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Machine,Projet,Habitat1,Habitat2
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150801_223150_000.wav,P. Nyssen,ENVsp,ENVsp,Main,ENVsp,6,Eptnil,5,2015,8,1,22,31,1/08/2015,22:31,1/08/2015,SM2-BXL,3,29,39,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150801_232914_960.wav,P. Nyssen,Myosp,ChiroSp,Main,Myosp,5,Myobec,1,2015,8,1,23,29,1/08/2015,23:29,1/08/2015,SM2-BXL,16,44,69,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150801_232919_960.wav,P. Nyssen,Myosp,Myosp,Main,Myosp,7,Myobec,1,2015,8,1,23,29,1/08/2015,23:29,1/08/2015,SM2-BXL,38,43,68,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_003448_935.wav,P. Nyssen,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,0,34,2/08/2015,0:34,1/08/2015,SM2-BXL,35,46,110,10,5,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_003448_935.wav,P. Nyssen,Plesp,ChiroSp,Secondary,Plesp,3,Pleaus,1,2015,8,2,0,34,2/08/2015,0:34,1/08/2015,SM2-BXL,2,26,105,4,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054257_724.wav,P. Nyssen,ENVsp,ENVsp,Main,ENVsp,10,Vesmur,4,2015,8,2,5,42,2/08/2015,5:42,1/08/2015,SM2-BXL,1,25,0,8,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054330_000.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,6,Nyclei,1,2015,8,2,5,43,2/08/2015,5:43,1/08/2015,SM2-BXL,52,37,36,9,5,10,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054335_000.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Nyclei,3,2015,8,2,5,43,2/08/2015,5:43,1/08/2015,SM2-BXL,42,38,60,10,5,7,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054340_000.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,8,Nyclei,2,2015,8,2,5,43,2/08/2015,5:43,1/08/2015,SM2-BXL,50,39,19,10,7,10,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054345_000.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Nyclei,2,2015,8,2,5,43,2/08/2015,5:43,1/08/2015,SM2-BXL,20,25,206,9,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054350_000.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Nyclei,2,2015,8,2,5,43,2/08/2015,5:43,1/08/2015,SM2-BXL,27,25,204,10,2,1,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054355_000.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,8,Nyclei,2,2015,8,2,5,43,2/08/2015,5:43,1/08/2015,SM2-BXL,54,37,20,10,8,10,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054400_000.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,9,Nyclei,2,2015,8,2,5,44,2/08/2015,5:44,1/08/2015,SM2-BXL,38,29,62,10,7,4,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054405_000.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Vesmur,1,2015,8,2,5,44,2/08/2015,5:44,1/08/2015,SM2-BXL,30,28,111,9,4,2,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav2/,SM2-BXL_20150802_054715_860.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,9,Nyclei,2,2015,8,2,5,47,2/08/2015,5:47,1/08/2015,SM2-BXL,28,27,133,10,5,8,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
