Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,site,N° appareil
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981883_20170919_00000_000.wav,parasi,parasi,,Principal,parasi,1,parasi,1,2017,9,19,-,-,19/09/2017,-,-,-,3,38,0,1,3,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981908_20170919_00000_000.wav,parasi,parasi,,Principal,parasi,1,parasi,1,2017,9,19,-,-,19/09/2017,-,-,-,2,38,5,1,3,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981935_20170919_00000_000.wav,ChiroSp,parasi,C. Brabant,Principal,Myosp,1,Myodau,1,2017,9,19,-,-,19/09/2017,-,-,-,2,37,0,2,3,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981936_20170919_00000_000.wav,ChiroSp,ChiroSp,,Principal,Pip35,1,Pipkuh,1,2017,9,19,-,-,19/09/2017,-,-,-,2,38,0,0,2,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982000_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,8,2017,9,19,-,-,19/09/2017,-,-,-,2,46,0,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982008_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,6,45,164,6,2,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982042_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,38,48,84,6,3,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982042_20170919_00005_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,41,47,85,6,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982455_20170919_00000_000.wav,ChiroSp,ChiroSp,,Principal,Pip50,5,PippiT,2,2017,9,19,-,-,19/09/2017,-,-,-,2,45,0,4,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982487_20170919_00000_000.wav,parasi,parasi,,Principal,parasi,0,parasi,0,2017,9,19,-,-,19/09/2017,-,-,-,4,39,2,3,4,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982658_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,6,45,166,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982868_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,36,49,87,5,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982870_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,39,48,79,6,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982884_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,14,47,90,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982941_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,3,48,0,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982945_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,12,47,0,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22982970_20170919_00000_000.wav,parasi,parasi,,Principal,parasi,0,parasi,0,2017,9,19,-,-,19/09/2017,-,-,-,3,37,0,2,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983036_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,19,47,88,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983079_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,26,48,84,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983107_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,13,46,73,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983129_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,8,PippiT,8,2017,9,19,-,-,19/09/2017,-,-,-,28,47,66,4,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983144_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,26,47,83,6,2,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983180_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,46,46,83,5,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983180_20170919_00005_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,12,45,0,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983285_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,28,49,88,6,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983286_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,47,46,82,5,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983286_20170919_00005_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,5,44,0,6,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22983343_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,19,47,87,6,0,0,1) abri animaux,18802
